;;Physical loss ;Physical disturbance;Changes to hydrological conditions;Inputs of continuous sounds;Inputs of impulsive sound;Inputs of electromag­netic and seismic waves;Input of heat ;Inputs of hazardous substances;Inputs of nitrogen;Inputs of phosphorus;Introduction of radionuclides;Oil slicks and spills;Disturbance of species;Extraction of herring;Extraction of cod;Extraction of sprat;Hunting of seabirds;Hunting of seals;Introduction of non-indigenous species
EC LAYER;EC CODE;PL_01;PL_02;PL_03;PL_04;PL_05;PL_06;PL_07;PL_08;PL_09;PL_10;PL_11;PL_12;PL_13;PL_14;PL_15;PL_16;PL_17;PL_18;PL_19
Recruitment areas of roach ;EC_33;1.7;1.1;1.2;0.6;1;0.4;0.3;0.6;0.5;0.5;0.5;1.7;0.8;1.6;1.6;1.6;0.5;0.5;0.9
Wintering seabirds;EC_34;0.9;0.8;0.5;0.8;0.9;0.6;0.4;1.4;0.2;0.2;0.7;2;1.3;1.1;1.1;1.1;1.7;1.7;0.6
Breeding seabird colonies;EC_35;0.9;0.9;0.4;0.6;0.8;0.3;0.3;1.3;0.3;0.3;0.2;2;1.8;1;1;1;1.6;1.6;0.8
Migration routes for birds;EC_36;0.8;0.5;0.4;0.7;0.8;0;0.6;1.2;0.2;0.2;0;1.9;1.4;0.7;0.7;0.7;1.8;1.8;0.3
Grey seal abundance;EC_37;0.6;0.7;0.7;1.4;1.6;0.6;0.3;1.4;0.3;0.3;1;1.3;1;1.2;1.2;1.2;1.6;1.6;0.8
Grey seal haulouts;EC_38;0.8;0.9;0.6;1.5;1.5;0.3;0.2;1.6;0.3;0.3;0.3;1.4;1.4;1;1;1;2;2;0.5
Harbour seal abundance;EC_39;0.6;0.7;0.7;1.5;1.6;0.6;0.3;1.5;0.3;0.3;1;1.6;1.3;1.2;1.2;1.2;1.9;1.9;0.8
Harbour seal haulouts;EC_40;0.8;0.9;0.6;1.5;1.5;0.3;0.2;1.6;0.3;0.3;0.3;1.6;1.6;1;1;1;2;2;0.5
Ringed seal distribution;EC_41;0.5;0.6;0.6;1.5;1.6;0.4;0.6;1.4;0.5;0.5;1.2;1.4;1.2;1.5;1.5;1.5;1.6;1.6;1.1
Distribution of harbour porpoise;EC_42;1.2;1.3;0.4;1.7;1.9;0.3;0.5;1.6;0.2;0.2;1;1.6;1.2;1.5;1.5;1.5;0;0;0.4
Spawning areas of cod;EC_Co;0.7;0.8;0.9;0.6;1;0.5;0.6;0.9;1.7;1.7;0.5;1;0.6;1.3;1.3;1.3;0.2;0.2;0.4
Spawning areas of herring;EC_He;1.6;1.1;1.2;0.6;1;0.7;0.6;0.9;1.4;1.4;0.5;1.7;0.6;1.3;1.3;1.3;0;0;0.4
Spawning areas of sprat;EC_Sp;0.7;0.8;0.9;0.6;1;0.5;0.6;0.9;0.7;0.7;0.5;1;0.6;1.3;1.3;1.3;0;0;0.4
Spawning areas of European flounder ;EC_Ef;0.7;0.8;0.9;0.3;0.9;0.5;0.6;0.9;1.7;1.7;0.5;1;0.6;1.3;1.3;1.3;0;0;1
Spawning areas of Baltic flounder;EC_Bf;1.6;1.1;1.2;0.3;0.9;0.7;0.6;0.9;1.7;1.7;0.5;1.7;0.6;1.3;1.3;1.3;0;0;1
Recruitment areas of flounders;EC_Fn;1.6;1.1;1.2;0.3;0.9;0.7;0.6;0.9;1.7;1.7;0.5;1.7;0.6;1.3;1.3;1.3;0;0;1
Recruitment areas of perch;EC_Pe;1.6;1.3;1.2;0.4;0.9;0.7;0.4;0.4;1.4;1.4;0.4;1.6;1.3;1.6;1.6;1.6;0;0;1
Recruitment areas of pikeperch ;EC_Pi;1.6;1.1;1.2;0.6;1.1;0.7;0.3;0.6;0.7;0.7;0.5;1.7;1;2;2;2;0.5;0.5;0.9
